"","subject","segment","session","hm_mean","hm_max","hm_mean_dvars","hm_max_dvars","thr","volume","log_volume","hm_mean_ten","hm_max_ten"
"446","sub0055","RS_D","D1",0.125408230197269,0.500791,32.8146603945372,57.2078,"23",0.088,-2.43041846450393,1.25408230197269,5.00791
"447","sub0055","RS_D","D1",0.125408230197269,0.500791,32.8146603945372,57.2078,"46",0,NA,1.25408230197269,5.00791
"448","sub0055","RS_E","D1",0.12459871092233,0.47131,32.6659006067961,54.4822,"0",1.08,0.0769610411361284,1.2459871092233,4.7131
"449","sub0055","RS_E","D1",0.12459871092233,0.47131,32.6659006067961,54.4822,"23",0.208,-1.57021719928082,1.2459871092233,4.7131
"450","sub0055","RS_E","D1",0.12459871092233,0.47131,32.6659006067961,54.4822,"46",0.096,-2.3434070875143,1.2459871092233,4.7131
"451","sub0063","RS_A","D1",0.0795353701219512,0.217512,26.0062292682927,31.744,"0",98.872,4.59382608428743,0.795353701219512,2.17512
"452","sub0063","RS_A","D1",0.0795353701219512,0.217512,26.0062292682927,31.744,"23",58.448,4.06813747005293,0.795353701219512,2.17512
"453","sub0063","RS_A","D1",0.0795353701219512,0.217512,26.0062292682927,31.744,"46",28.416,3.34695236680976,0.795353701219512,2.17512
"454","sub0063","RS_B","D1",0.0776492097264438,0.240016,25.5419027355623,31.5945,"0",178.664,5.18550694691817,0.776492097264438,2.40016
"455","sub0063","RS_B","D1",0.0776492097264438,0.240016,25.5419027355623,31.5945,"23",166.168,5.11299932477381,0.776492097264438,2.40016
"456","sub0063","RS_B","D1",0.0776492097264438,0.240016,25.5419027355623,31.5945,"46",147.368,4.99293285984992,0.776492097264438,2.40016
"457","sub0063","RS_C","D1",0.0803698307287449,0.249205,25.2789659919028,31.6739,"0",178.056,5.18209810755533,0.803698307287449,2.49205
"458","sub0063","RS_C","D1",0.0803698307287449,0.249205,25.2789659919028,31.6739,"23",166.672,5.11602780924209,0.803698307287449,2.49205
"459","sub0063","RS_C","D1",0.0803698307287449,0.249205,25.2789659919028,31.6739,"46",148.28,4.99910237828253,0.803698307287449,2.49205
"460","sub0063","RS_D","D1",0.0857701885432473,1.10276,24.1962649468892,52.3344,"0",129.352,4.86253737043751,0.857701885432473,11.0276
"461","sub0063","RS_D","D1",0.0857701885432473,1.10276,24.1962649468892,52.3344,"23",95.176,4.55572780917422,0.857701885432473,11.0276
"462","sub0063","RS_D","D1",0.0857701885432473,1.10276,24.1962649468892,52.3344,"46",59.16,4.0802456378426,0.857701885432473,11.0276
"463","sub0063","RS_E","D1",0.0845100120024272,1.04567,23.2348091019417,54.022,"0",58.128,4.06264747547885,0.845100120024272,10.4567
"464","sub0063","RS_E","D1",0.0845100120024272,1.04567,23.2348091019417,54.022,"23",20.392,3.01514266707381,0.845100120024272,10.4567
"465","sub0063","RS_E","D1",0.0845100120024272,1.04567,23.2348091019417,54.022,"46",8.352,2.12250103114028,0.845100120024272,10.4567
"466","sub0070","RS_A","D1",0.295555148780488,0.761355,43.4738914634146,58.4447,"0",55.616,4.01847092964293,2.95555148780488,7.61355
"467","sub0070","RS_A","D1",0.295555148780488,0.761355,43.4738914634146,58.4447,"23",23.24,3.14587493198371,2.95555148780488,7.61355
"468","sub0070","RS_A","D1",0.295555148780488,0.761355,43.4738914634146,58.4447,"46",8.512,2.14147693259929,2.95555148780488,7.61355
"469","sub0070","RS_B","D1",0.335969856534954,1.11862,44.1501425531915,69.6869,"0",79.032,4.36985283374217,3.35969856534954,11.1862
"470","sub0070","RS_B","D1",0.335969856534954,1.11862,44.1501425531915,69.6869,"23",58.584,4.07046162175877,3.35969856534954,11.1862
"471","sub0070","RS_B","D1",0.335969856534954,1.11862,44.1501425531915,69.6869,"46",43.56,3.77413929806476,3.35969856534954,11.1862
"472","sub0070","RS_C","D1",0.362588612955466,1.75982,45.5959534412955,99.8539,"0",62.368,4.13305232332515,3.62588612955466,17.5982
"473","sub0070","RS_C","D1",0.362588612955466,1.75982,45.5959534412955,99.8539,"23",44.584,3.79737505026724,3.62588612955466,17.5982
"474","sub0070","RS_C","D1",0.362588612955466,1.75982,45.5959534412955,99.8539,"46",34.208,3.53245953484263,3.62588612955466,17.5982
"475","sub0070","RS_D","D1",0.371323053717754,1.85053,46.2197226100152,99.5392,"0",56.136,4.02777731794999,3.71323053717754,18.5053
"476","sub0070","RS_D","D1",0.371323053717754,1.85053,46.2197226100152,99.5392,"23",35.888,3.58040297777785,3.71323053717754,18.5053
"477","sub0070","RS_D","D1",0.371323053717754,1.85053,46.2197226100152,99.5392,"46",25.264,3.22938045751329,3.71323053717754,18.5053
"478","sub0070","RS_E","D1",0.393060109708738,1.84587,46.0618281553398,99.2472,"0",66.128,4.19159225776938,3.93060109708738,18.4587
"479","sub0070","RS_E","D1",0.393060109708738,1.84587,46.0618281553398,99.2472,"23",41.984,3.73728859332162,3.93060109708738,18.4587
"480","sub0070","RS_E","D1",0.393060109708738,1.84587,46.0618281553398,99.2472,"46",26.912,3.29257228379054,3.93060109708738,18.4587
"481","sub0074","RS_A","D1",0.803016609756098,2.52614,57.5724768292683,91.7522,"0",144.776,4.9751877203579,8.03016609756098,25.2614
"482","sub0074","RS_A","D1",0.803016609756098,2.52614,57.5724768292683,91.7522,"23",96.904,4.5737207977145,8.03016609756098,25.2614
"483","sub0074","RS_A","D1",0.803016609756098,2.52614,57.5724768292683,91.7522,"46",49.968,3.91138280054072,8.03016609756098,25.2614
"484","sub0074","RS_B","D1",0.706211252279635,3.56186,55.5713738601824,109.991,"0",108.192,4.68390742652547,7.06211252279635,35.6186
"485","sub0074","RS_B","D1",0.706211252279635,3.56186,55.5713738601824,109.991,"23",79.24,4.37248122183035,7.06211252279635,35.6186
"486","sub0074","RS_B","D1",0.706211252279635,3.56186,55.5713738601824,109.991,"46",64.152,4.16125526750473,7.06211252279635,35.6186
"487","sub0074","RS_C","D1",0.572023429149798,3.22035,48.1724860323887,112.081,"0",100.896,4.61409028336265,5.72023429149798,32.2035
"488","sub0074","RS_C","D1",0.572023429149798,3.22035,48.1724860323887,112.081,"23",51.152,3.93480159231749,5.72023429149798,32.2035
"489","sub0074","RS_C","D1",0.572023429149798,3.22035,48.1724860323887,112.081,"46",30.264,3.40995888733073,5.72023429149798,32.2035
"490","sub0074","RS_D","D1",0.486130770713202,3.1804,51.4284541729894,117.035,"0",77.008,4.34390931256075,4.86130770713202,31.804
"491","sub0074","RS_D","D1",0.486130770713202,3.1804,51.4284541729894,117.035,"23",20.864,3.03802518574424,4.86130770713202,31.804
"492","sub0074","RS_D","D1",0.486130770713202,3.1804,51.4284541729894,117.035,"46",8.72,2.16561923792089,4.86130770713202,31.804
"493","sub0074","RS_E","D1",0.424129167475728,3.12522,49.7911406553398,113.496,"0",165.96,5.11174679546467,4.24129167475728,31.2522
"494","sub0074","RS_E","D1",0.424129167475728,3.12522,49.7911406553398,113.496,"23",71.584,4.27087158530772,4.24129167475728,31.2522
"495","sub0074","RS_E","D1",0.424129167475728,3.12522,49.7911406553398,113.496,"46",23.4,3.15273602236366,4.24129167475728,31.2522
"496","sub0092","RS_A","D1",0.0665673934756098,0.248212,28.0854079268293,38.1865,"0",30.416,3.41496878574607,0.665673934756098,2.48212
"497","sub0092","RS_A","D1",0.0665673934756098,0.248212,28.0854079268293,38.1865,"23",17.392,2.85601033037885,0.665673934756098,2.48212
"498","sub0092","RS_A","D1",0.0665673934756098,0.248212,28.0854079268293,38.1865,"46",8.448,2.13392972696391,0.665673934756098,2.48212
"499","sub0092","RS_B","D1",0.0713567896656535,0.306766,28.1588990881459,46.388,"0",22.848,3.12886358615717,0.713567896656535,3.06766
"500","sub0092","RS_B","D1",0.0713567896656535,0.306766,28.1588990881459,46.388,"23",7.224,1.97740881611468,0.713567896656535,3.06766
"501","sub0092","RS_B","D1",0.0713567896656535,0.306766,28.1588990881459,46.388,"46",2.52,0.924258901523332,0.713567896656535,3.06766
"502","sub0092","RS_C","D1",0.0703994409919028,0.365866,28.1091131578947,46.4866,"0",23.928,3.17504932132765,0.703994409919028,3.65866
"503","sub0092","RS_C","D1",0.0703994409919028,0.365866,28.1091131578947,46.4866,"23",7.248,1.98072556874068,0.703994409919028,3.65866
"504","sub0092","RS_C","D1",0.0703994409919028,0.365866,28.1091131578947,46.4866,"46",3.912,1.36404875217257,0.703994409919028,3.65866
"505","sub0092","RS_D","D1",0.0675499263732929,0.371589,27.1889959028832,45.0353,"0",36.12,3.58684672854878,0.675499263732929,3.71589
"506","sub0092","RS_D","D1",0.0675499263732929,0.371589,27.1889959028832,45.0353,"23",16.096,2.77857079391733,0.675499263732929,3.71589
"507","sub0092","RS_D","D1",0.0675499263732929,0.371589,27.1889959028832,45.0353,"46",9.24,2.22354188565359,0.675499263732929,3.71589
"508","sub0092","RS_E","D1",0.0658409060194175,0.382271,27.0442652912621,44.954,"0",39.776,3.6832637153283,0.658409060194175,3.82271
"509","sub0092","RS_E","D1",0.0658409060194175,0.382271,27.0442652912621,44.954,"23",19.8,2.98568193770049,0.658409060194175,3.82271
"510","sub0092","RS_E","D1",0.0658409060194175,0.382271,27.0442652912621,44.954,"46",10.056,2.30816947128795,0.658409060194175,3.82271
"511","sub0096","RS_A","D1",0.167766604878049,0.803148,28.7566243902439,52.819,"0",61.984,4.12687628722459,1.67766604878049,8.03148
"512","sub0096","RS_A","D1",0.167766604878049,0.803148,28.7566243902439,52.819,"23",18.584,2.92230099546811,1.67766604878049,8.03148
"513","sub0096","RS_A","D1",0.167766604878049,0.803148,28.7566243902439,52.819,"46",4.904,1.59005119863391,1.67766604878049,8.03148
"514","sub0096","RS_B","D1",0.15955329331307,1.08913,27.5668927051672,55.8888,"0",104.168,4.64600498042643,1.5955329331307,10.8913
"515","sub0096","RS_B","D1",0.15955329331307,1.08913,27.5668927051672,55.8888,"23",85.416,4.447533436876,1.5955329331307,10.8913
"516","sub0096","RS_B","D1",0.15955329331307,1.08913,27.5668927051672,55.8888,"46",75.344,4.3220642935012,1.5955329331307,10.8913
"517","sub0096","RS_C","D1",0.156224809979757,1.01564,27.6558769230769,62.6073,"0",74.496,4.31074543266892,1.56224809979757,10.1564
"518","sub0096","RS_C","D1",0.156224809979757,1.01564,27.6558769230769,62.6073,"23",48.056,3.87236699754786,1.56224809979757,10.1564
"519","sub0096","RS_C","D1",0.156224809979757,1.01564,27.6558769230769,62.6073,"46",41.408,3.72347409887844,1.56224809979757,10.1564
"520","sub0096","RS_D","D1",0.158292003186646,1.24963,26.8921034901366,77.8967,"0",65.176,4.17709130300834,1.58292003186646,12.4963
"521","sub0096","RS_D","D1",0.158292003186646,1.24963,26.8921034901366,77.8967,"23",36.544,3.59851701403354,1.58292003186646,12.4963
"522","sub0096","RS_D","D1",0.158292003186646,1.24963,26.8921034901366,77.8967,"46",31.344,3.44502286120218,1.58292003186646,12.4963
"523","sub0096","RS_E","D1",0.153300596480583,1.14906,26.3145330097087,72.2833,"0",58.68,4.07209895327478,1.53300596480583,11.4906
"524","sub0096","RS_E","D1",0.153300596480583,1.14906,26.3145330097087,72.2833,"23",29.568,3.38669269545927,1.53300596480583,11.4906
"525","sub0096","RS_E","D1",0.153300596480583,1.14906,26.3145330097087,72.2833,"46",21.632,3.07417369986055,1.53300596480583,11.4906
"526","sub0102","RS_A","D1",0.197286841463415,0.443096,50.0728920731707,59.2477,"0",7.6,2.02814824729229,1.97286841463415,4.43096
"527","sub0102","RS_A","D1",0.197286841463415,0.443096,50.0728920731707,59.2477,"23",2.472,0.905027539595444,1.97286841463415,4.43096
"528","sub0102","RS_A","D1",0.197286841463415,0.443096,50.0728920731707,59.2477,"46",0.984,-0.0161293819298836,1.97286841463415,4.43096
"529","sub0102","RS_B","D1",0.209358879027356,0.501007,48.3435686930091,60.7261,"0",18.424,2.91365416251838,2.09358879027356,5.01007
